state,state_fips,year,total_18_64,uninsured_18_64,uninsured_rate
Alabama,01,2009,2867716,567010,19.772181066744405
Alaska,02,2009,443727,117660,26.516303943641024
Arizona,04,2009,3917641,907815,23.172490792290564
Arkansas,05,2009,1734882,436402,25.15456382624294
California,06,2009,22929836,5595750,24.403794253042193
Colorado,08,2009,3188289,648050,20.325949121927152
Connecticut,09,2009,2190066,271531,12.398302151624655
Delaware,10,2009,541392,77056,14.232940272482786
District of Columbia,11,2009,409934,37704,9.197578146726059
Florida,12,2009,11023718,3154849,28.618738251468333
Georgia,13,2009,6043511,1543494,25.53969042167707
Hawaii,15,2009,762990,77343,10.136830102622577
Idaho,16,2009,923984,216149,23.393153994008554
Illinois,17,2009,8033971,1532929,19.080589163192148
Indiana,18,2009,3949279,757861,19.189857186590263
Iowa,19,2009,1835246,222138,12.103990418723159
Kansas,20,2009,1713993,303036,17.680118880298814
Kentucky,21,2009,2666222,545995,20.478227244393
Louisiana,22,2009,2744515,685395,24.973264857360956
Maine,23,2009,833819,121425,14.562512967442576
Maryland,24,2009,3574339,550622,15.404862269639224
Massachusetts,25,2009,4223602,249362,5.90401273604852
Michigan,26,2009,6203210,1089952,17.5707738412854
Minnesota,27,2009,3311931,387582,11.70259887660703
Mississippi,28,2009,1759049,434937,24.725689847184473
Missouri,29,2009,3663823,672042,18.34264373579182
Montana,30,2009,602897,145471,24.12866542709617
Nebraska,31,2009,1091175,181015,16.588998098380188
Nevada,32,2009,1625303,444593,27.354468674456395
New Hampshire,33,2009,850768,120083,14.114658755383372
New Jersey,34,2009,5412778,938410,17.336938629295346
New Mexico,35,2009,1203374,327676,27.229772290243933
New York,36,2009,12337913,1963484,15.914231199393287
North Carolina,37,2009,5738729,1277744,22.265278600888802
North Dakota,38,2009,400561,52571,13.12434310878992
Ohio,39,2009,7122021,1203518,16.898546072807143
Oklahoma,40,2009,2198149,565950,25.746662305421513
Oregon,41,2009,2405905,548271,22.788555657850164
Pennsylvania,42,2009,7758208,1063788,13.711774677863753
Rhode Island,44,2009,665845,103629,15.563532053255638
South Carolina,45,2009,2777503,640264,23.051784282501224
South Dakota,46,2009,489603,88766,18.130199365608462
Tennessee,47,2009,3899384,792764,20.330493226622462
Texas,48,2009,14974882,4618585,30.842212980376072
Utah,49,2009,1641565,310195,18.896297131091366
Vermont,50,2009,403446,49118,12.174615685866263
Virginia,51,2009,4882465,779499,15.965275736743633
Washington,53,2009,4195352,763535,18.19954559236031
West Virginia,54,2009,1134314,232423,20.490181730984542
Wisconsin,55,2009,3537397,452815,12.800796744046542
Wyoming,56,2009,341002,69128,20.2720218649744
Alabama,01,2010,2931536,617715,21.071376916401505
Alaska,02,2010,449435,112823,25.103296360986572
Arizona,04,2010,3804683,847427,22.273261662009684
Arkansas,05,2010,1753433,453132,25.84256142093824
California,06,2010,23349907,5920568,25.3558525950446
Colorado,08,2010,3194530,661959,20.721639803038318
Connecticut,09,2010,2220078,291429,13.126971214524897
Delaware,10,2010,553769,74594,13.470237590042059
District of Columbia,11,2010,426175,41936,9.840089165249017
Florida,12,2010,11335279,3388214,29.890874322546452
Georgia,13,2010,6024027,1620031,26.892824351550882
Hawaii,15,2010,818181,89591,10.950022061133172
Idaho,16,2010,930312,230075,24.73095047682928
Illinois,17,2010,8001743,1585311,19.812070945042848
Indiana,18,2010,3982366,801546,20.127381561614378
Iowa,19,2010,1854816,249528,13.45297862429481
